date,year,month,day,day_of_week,venue,city,state,country,song_count,show_url
2010-04-20,2010,4,20,Tuesday,9:30 Club,Washington,DC,US,12,https://discobiscuits.net/shows/2010-04-20-9-30-club-washington-dc
2010-04-21,2010,4,21,Wednesday,The Jefferson Theater,Charlottesville,VA,US,14,https://discobiscuits.net/shows/2010-04-21-the-jefferson-theater-charlottesville-va
2010-04-22,2010,4,22,Thursday,The Klein Memorial Auditorium,Bridgeport,CT,US,13,https://discobiscuits.net/shows/2010-04-22-the-klein-memorial-auditorium-bridgeport-ct
2010-04-23,2010,4,23,Friday,The F.M. Kirby Center,Wilkes-Barre,PA,US,13,https://discobiscuits.net/shows/2010-04-23-the-f-m-kirby-center-wilkes-barre-pa
2010-04-24,2010,4,24,Saturday,House of Blues,Atlantic City,NJ,US,15,https://discobiscuits.net/shows/2010-04-24-house-of-blues-atlantic-city-nj
2010-04-25,2010,4,25,Sunday,Webster Theater,Hartford,CT,US,14,https://discobiscuits.net/shows/2010-04-25-webster-theater-hartford-ct
2010-05-07,2010,5,7,Friday,Paper Mill Island Amphitheater,Baldwinsville,NY,US,12,https://discobiscuits.net/shows/2010-05-07-paper-mill-island-amphitheater-baldwinsville-ny
2010-05-08,2010,5,8,Saturday,Wellmont Theater,Montclair,NJ,US,12,https://discobiscuits.net/shows/2010-05-08-wellmont-theater-montclair-nj
2010-05-27,2010,5,27,Thursday,Pearl Street Mall,Boulder,CO,US,4,https://discobiscuits.net/shows/2010-05-27-pearl-street-mall-boulder-co
2010-05-27,2010,5,27,Thursday,Boulder Theater,Boulder,CO,US,12,https://discobiscuits.net/shows/2010-05-27-boulder-theater-boulder-co
2010-05-28,2010,5,28,Friday,Ogden Theater,Denver,CO,US,12,https://discobiscuits.net/shows/2010-05-28-ogden-theater-denver-co
2010-05-29,2010,5,29,Saturday,Red Rocks Amphitheater,Morrison,CO,US,13,https://discobiscuits.net/shows/2010-05-29-red-rocks-amphitheater-morrison-co
2010-06-02,2010,6,2,Wednesday,Beaumont Club,Kansas City,MO,US,14,https://discobiscuits.net/shows/2010-06-02-beaumont-club-kansas-city-mo
2010-06-03,2010,6,3,Thursday,Wakarusa Festival - Mulberry River Mountain Ranch,Ozark,AR,US,11,https://discobiscuits.net/shows/2010-06-03-wakarusa-festival-mulberry-river-mountain-ranch-ozark-ar
2010-06-04,2010,6,4,Friday,BamaJam Music Festival,Enterprise,AL,US,7,https://discobiscuits.net/shows/2010-06-04-bamajam-music-festival-enterprise-al
2010-06-05,2010,6,5,Saturday,Ft. Armistead Park,Baltimore,MD,US,23,https://discobiscuits.net/shows/2010-06-05-ft-armistead-park-baltimore-md
2010-06-08,2010,6,8,Tuesday,The Windjammer,Isle of Palms,SC,US,13,https://discobiscuits.net/shows/2010-06-08-the-windjammer-isle-of-palms-sc
