date,year,month,day,day_of_week,venue,city,state,country,song_count,show_url
2007-10-16,2007,10,16,Tuesday,Cannery Ballroom,Nashville,TN,US,12,https://discobiscuits.net/shows/2007-10-16-cannery-ballroom-nashville-tn
2007-10-17,2007,10,17,Wednesday,Bogart's,Cincinnati,OH,US,13,https://discobiscuits.net/shows/2007-10-17-bogart-s-cincinnati-oh
2007-10-18,2007,10,18,Thursday,Vic Theatre,Chicago,IL,US,14,https://discobiscuits.net/shows/2007-10-18-vic-theatre-chicago-il
2007-10-19,2007,10,19,Friday,Canopy Club,Urbana,IL,US,14,https://discobiscuits.net/shows/2007-10-19-canopy-club-urbana-il
2007-10-20,2007,10,20,Saturday,First Avenue,Minneapolis,MN,US,12,https://discobiscuits.net/shows/2007-10-20-first-avenue-minneapolis-mn
2007-10-23,2007,10,23,Tuesday,Legends,Boone,NC,US,13,https://discobiscuits.net/shows/2007-10-23-legends-boone-nc
2007-10-24,2007,10,24,Wednesday,Warner Theater,Washington,DC,US,15,https://discobiscuits.net/shows/2007-10-24-warner-theater-washington-dc
2007-10-25,2007,10,25,Thursday,Toad's Place Richmond,Richmond,VA,US,14,https://discobiscuits.net/shows/2007-10-25-toad-s-place-richmond-richmond-va
2007-10-26,2007,10,26,Friday,Rams Head Live,Baltimore,MD,US,9,https://discobiscuits.net/shows/2007-10-26-rams-head-live-baltimore-md
2007-10-27,2007,10,27,Saturday,The F.M. Kirby Center,Wilkes-Barre,PA,US,16,https://discobiscuits.net/shows/2007-10-27-the-f-m-kirby-center-wilkes-barre-pa
